"","estado","ecotonos","savana","floresta","natural","lucc","composicao","map","cv","msi","area","sd","iqr","flo","sav","ihh","ih"
"1","TO",107,0.3567786,0.363244,0.7200226,0.2799774,"S/Fo",1795.80949915422,0.136422848440828,0.524602786232142,0.0202714252,38.26742,72,0.504489720183783,0.495510279816217,0.0089794403675662,0.991020559632434
"2","TO",108,0.4207863,0.1854879,0.6062742,0.3937258,"S/Fo",1857.48479749061,0.135142880846789,0.514138316407182,0.02649226942,37.06059,86,0.305947210024771,0.694052789975229,0.388105579950458,0.611894420049542
"3","TO",109,0.329513,0.1782359,0.5077489,0.4922511,"S/Fo",1855.99816782732,0.118976556851236,0.496836327636679,0.05105941508,36.1001,72,0.351031582737058,0.648968417262942,0.297936834525885,0.702063165474115
"4","TO",116,0.3807709,0.2902962,0.6710671,0.3289329,"S/Fo",1686.90657232903,0.138858704544686,0.502981661577475,0.18185622583,40.18364,82,0.432588931866873,0.567411068133127,0.134822136266254,0.865177863733746
"5","TO",120,0.4404687,0.3390055,0.7794742,0.2205258,"S/Fo",1650.7179799598,0.157674043361246,0.529453029033053,0.12005908853,38.48891,87,0.434915613627751,0.565084386372249,0.130168772744499,0.869831227255501
"6","PA",94,0,0.996612,0.996612,0.003388,"S/Fo",2144.31572398946,0.0853220155507373,0.464749906829858,0.0705250264,2.02082,3,1,0,1,0
"7","PA",95,0,0.926074,0.926074,0.073926,"S/Fo",2026.812614718,0.0879804411323564,0.476558424228334,0.28488457766,8.655676,3,1,0,1,0
"8","PA",99,0,0.8486945,0.8486945,0.1513055,"S/Fo",1918.48683574393,0.109205251773866,0.498286513759657,0.16419968175,11.75131,10,1,0,1,0
"9","PA",100,0.0005109057,0.6662441,0.666755,0.333245,"S/Fo",1986.8439613484,0.0995168636738819,0.462284388637343,0.55464857862,10.86853,9,0.999233751527923,0.000766257020944725,0.998467494506978,0.00153250549302208
"10","MT",49,0.0001524823,0.6112897,0.6114422,0.3885578,"S/Fo",2008.70064262442,0.0845283972805234,0.536573804694402,0.02090362645,8.813352,9,0.999750589671436,0.000249381380611283,0.999501208290825,0.000498791709175439
"11","MT",54,0.0003922109,0.5282419,0.5286341,0.4713659,"S/Fo",1991.39613841675,0.0806522544029765,0.545179873713072,0.09258482291,11.88446,11,0.999258087966705,0.000741932652471719,0.998516155314234,0.00148384468576646
"12","MT",97,0.196001,0.447578,0.6435789,0.3564211,"S/Fo",1700.71433412062,0.0933817243330849,0.571184803971229,0.16345434795,26.17078,42,0.695451637709067,0.304548517672037,0.39090312003703,0.60909687996297
"13","MT",191,0.02782574,0.7463427,0.7741684,0.2258316,"S/Fo",1991.48948691665,0.0917846248240021,0.544294771729126,2.14829550843,15.36267,10,0.964057303294735,0.0359427483736097,0.928114554921126,0.0718854450788743
